L101_volume,L102_volume,L103_volume,L104_volume,L106_volume,L107_volume,L108_volume,L101_occupancy,L102_occupancy,L103_occupancy,L104_occupancy,L106_occupancy,L107_occupancy,L108_occupancy,DAY,MIN.3.TIME
12,75,76,76,88,73,66,1.575,21.26,12.795,56.105,13.585,7.87,12.8,3,1
23,61,68,62,89,52,56,3.345,10.435,10.435,26.18,12.995,4.92,6.495,3,2
19,60,67,66,94,56,50,2.755,11.025,10.435,28.155,12.205,6.1,8.665,3,3
20,65,80,73,107,59,65,3.15,23.82,17.325,35.235,17.72,6.3,13.585,3,4
25,86,79,71,107,60,61,3.15,20.475,12.01,43.115,16.93,6.69,8.465,3,5
10,39,38,40,53,41,21,1.18,6.495,10.04,26.185,8.465,4.53,3.15,3,6
26,65,73,63,96,61,48,3.74,13.19,10.24,26.18,14.175,6.105,5.905,3,7
24,76,77,65,89,62,48,3.54,15.555,11.22,29.725,10.825,6.695,5.12,3,8
19,84,56,71,78,61,50,3.345,22.64,6.1,37.01,11.615,6.3,6.5,3,9
21,82,61,64,97,71,54,2.755,15.155,11.22,34.06,16.735,8.07,6.695,3,10
25,78,73,73,90,72,54,3.145,21.655,9.45,53.55,12.795,7.68,5.905,3,11
13,81,51,87,79,82,51,1.375,24.215,5.905,49.61,10.83,9.645,7.085,3,12
17,73,72,83,94,69,49,2.56,13.585,8.465,35.63,12.005,6.69,5.705,3,13
25,80,63,67,75,55,47,3.35,17.325,8.66,29.135,8.665,5.315,5.71,3,14
20,65,64,54,80,68,40,2.36,12.205,8.07,22.835,9.845,7.87,4.725,3,15
23,68,66,64,79,64,60,2.56,12.795,7.87,31.105,14.965,5.905,7.48,3,16
21,47,65,51,88,53,54,2.165,7.875,7.285,19.69,11.42,5.115,6.495,3,17
22,63,66,67,94,65,57,1.965,11.81,8.465,27.165,12.995,7.675,7.285,3,18
20,67,54,66,89,63,43,2.36,12.01,5.515,34.455,11.02,7.48,4.725,3,19
19,69,59,67,67,61,48,1.77,12.795,10.63,37.795,8.465,5.71,5.905,3,20
21,70,62,56,98,69,43,1.965,11.615,8.465,19.49,13.585,7.675,4.92,3,21
18,55,54,61,83,65,47,1.575,9.45,5.905,31.105,10.63,6.5,5.51,3,22
15,61,64,58,101,48,46,1.77,9.84,8.07,26.185,14.375,4.53,5.115,3,23
22,47,59,55,87,63,47,2.36,7.285,7.285,22.44,10.235,6.5,5.515,3,24
23,56,56,49,73,42,32,2.365,9.25,5.705,16.34,8.075,3.94,4.13,3,25
24,54,51,68,85,45,42,2.365,9.255,6.495,27.955,10.83,4.725,4.33,3,26
16,68,56,48,71,64,39,1.57,8.86,6.695,17.13,9.25,5.905,3.74,3,27
14,46,48,48,72,47,49,1.575,5.515,4.725,18.11,11.81,4.525,5.315,3,28
20,57,60,42,80,41,35,2.165,11.81,7.285,19.49,9.45,3.935,4.135,3,29
22,61,57,77,75,57,52,2.365,8.265,6.89,31.495,9.255,6.495,5.71,3,30
14,40,55,62,87,49,48,1.18,4.33,5.905,20.08,11.81,4.725,5.51,3,31
22,51,61,49,77,43,40,2.36,5.71,7.285,15.55,12.205,3.94,3.94,3,32
22,39,58,51,73,49,49,2.36,3.74,6.3,16.93,9.645,5.315,5.12,3,33
19,39,53,39,69,38,31,1.965,3.74,6.105,9.45,10.825,3.35,2.95,3,34
17,59,43,77,73,51,37,1.575,7.875,4.725,25.2,13.19,4.33,3.74,3,35
12,54,43,50,55,44,30,0.985,5.315,4.725,13.19,6.695,4.135,3.15,3,36
15,41,44,53,59,30,32,1.38,3.935,4.725,13.39,8.07,2.76,3.35,3,37
12,44,35,45,61,46,24,1.18,5.12,3.15,13.98,9.845,3.74,2.165,3,38
12,46,34,49,52,33,37,0.98,5.515,3.345,12.995,9.06,2.955,4.525,3,39
18,45,43,52,56,40,25,1.77,5.12,4.92,13.19,11.225,3.54,2.56,3,40
13,36,33,45,54,33,26,1.18,3.94,3.54,12.01,7.085,2.755,2.365,3,41
14,48,30,52,43,37,30,1.38,4.525,2.56,13.39,4.925,3.545,2.95,3,42
13,34,47,39,55,29,40,1.18,3.345,5.515,11.025,7.285,2.36,4.135,3,43
19,36,33,47,48,39,30,1.965,3.545,3.54,12.995,6.105,3.15,2.955,3,44
7,39,36,46,46,36,29,0.59,3.935,3.94,12.4,8.265,2.955,2.955,3,45
6,40,36,42,51,32,25,0.59,3.74,3.74,10.825,6.3,2.56,2.365,3,46
23,23,29,27,49,24,26,1.97,2.165,2.95,6.1,6.695,1.965,2.56,3,47
14,40,39,41,60,23,25,1.18,4.525,4.725,12.6,8.07,1.775,2.36,3,48
11,33,25,34,36,34,15,0.985,3.74,2.555,8.86,3.74,2.755,1.38,3,49
13,35,34,43,46,27,31,1.18,4.53,3.74,12.6,5.12,2.165,2.955,3,50
5,29,35,37,43,32,21,0.395,3.15,4.135,9.055,5.71,2.56,2.56,3,51
20,39,30,49,48,36,19,2.165,4.135,3.35,15.16,6.295,3.345,1.97,3,52
7,42,30,53,40,37,22,0.59,3.94,3.15,14.175,4.525,3.545,2.56,3,53
9,29,32,33,36,25,26,0.785,2.95,3.345,8.07,4.725,2.165,2.95,3,54
14,40,32,44,43,30,20,1.375,4.135,3.345,11.025,5.12,2.36,1.77,3,55
13,32,24,33,41,34,24,1.375,2.755,2.165,8.265,4.925,2.95,2.56,3,56
7,43,38,42,52,31,31,0.39,3.74,3.74,10.63,6.495,2.365,3.345,3,57
10,31,29,37,49,24,20,0.985,2.56,3.15,8.27,6.89,1.965,1.97,3,58
8,27,29,32,46,17,15,0.39,2.56,2.955,9.255,4.725,0.985,0.985,3,59
9,29,22,30,35,20,20,0.785,2.56,2.555,7.68,4.13,1.575,2.56,3,60
8,28,19,30,33,22,18,0.59,2.56,2.165,7.48,5.315,1.965,1.77,3,61
7,27,22,30,34,15,20,0.59,2.36,2.165,8.665,4.33,0.98,1.97,3,62
17,30,30,40,39,31,19,1.965,2.955,3.15,10.83,4.33,2.755,1.77,3,63
9,33,30,41,49,28,17,0.79,3.15,3.15,11.42,5.515,2.56,1.575,3,64
10,28,20,33,36,30,21,0.785,2.56,1.965,8.86,3.935,2.755,1.77,3,65
6,30,21,30,40,12,16,0.195,3.15,2.365,9.06,4.33,1.38,1.575,3,66
3,23,23,27,29,27,9,0.195,2.36,1.775,7.085,3.74,2.56,0.785,3,67
9,22,23,29,33,17,15,0.59,1.97,2.365,7.085,3.74,0.985,1.375,3,68
9,23,19,22,27,15,6,0.785,2.365,2.36,5.315,2.95,1.18,0.395,3,69
11,23,17,26,38,16,21,0.79,2.56,1.57,7.875,4.72,1.18,1.965,3,70
6,26,12,26,22,15,19,0.39,2.36,1.18,6.89,3.74,1.18,1.77,3,71
8,17,23,25,32,12,18,0.59,1.57,1.965,6.3,3.545,0.79,1.77,3,72
8,25,23,33,41,28,11,0.59,2.36,2.36,8.66,4.92,2.755,1.18,3,73
8,31,20,38,36,22,17,0.39,3.145,1.97,11.025,4.725,1.57,1.57,3,74
9,28,17,32,25,29,12,1.18,2.755,1.97,8.665,3.35,2.755,1.18,3,75
6,31,19,29,37,16,14,0.59,2.955,2.165,7.48,3.74,1.18,0.985,3,76
8,25,20,37,39,27,16,0.59,2.365,2.165,10.83,3.935,2.56,1.965,3,77
6,24,22,28,37,23,18,0.39,2.56,2.95,8.665,5.705,2.165,1.97,3,78
6,19,25,26,31,17,12,0.195,1.965,2.955,7.875,3.935,1.375,0.985,3,79
3,21,25,28,43,17,17,0.195,1.775,3.15,8.465,5.315,1.57,1.965,3,80
10,29,24,33,43,21,25,0.985,2.76,3.35,9.055,4.92,1.57,6.105,3,81
14,27,32,38,43,25,18,0.79,2.755,3.345,12.6,4.72,2.165,1.965,3,82
9,22,27,24,42,21,18,0.59,1.77,2.36,7.285,4.925,1.575,1.575,3,83
12,23,32,29,44,24,19,1.18,2.165,3.935,7.09,7.085,1.77,1.77,3,84
8,35,32,40,36,24,10,0.59,3.74,3.74,13.78,4.53,1.97,1.18,3,85
7,22,21,35,23,24,18,0.39,2.365,2.56,8.465,2.76,2.365,1.77,3,86
6,34,24,37,43,26,15,0.39,2.755,2.365,8.665,5.905,1.97,1.38,3,87
7,19,23,20,46,17,18,0.39,2.165,1.965,5.71,11.42,1.77,1.77,3,88
11,24,25,30,45,18,20,0.98,2.36,2.955,9.25,8.86,1.38,2.165,3,89
9,36,24,32,43,27,18,0.59,3.74,2.56,9.255,4.72,2.36,1.375,3,90
5,22,21,19,27,18,14,0.39,1.965,2.56,5.315,3.345,1.375,1.97,3,91
7,31,30,28,47,25,26,0.59,3.345,2.955,7.48,6.1,2.165,2.36,3,92
12,23,29,23,48,18,19,1.18,3.15,3.345,8.465,5.71,1.965,1.77,3,93
9,27,22,31,44,25,14,0.59,2.755,1.965,8.855,10.825,2.165,1.575,3,94
4,20,25,28,48,25,19,0.195,1.965,2.36,9.255,36.025,2.365,1.965,3,95
7,20,24,25,28,10,14,0.59,3.54,3.15,9.84,48.43,0.985,1.575,3,96
6,34,17,42,23,34,13,0.79,3.15,1.57,10.24,6.1,3.94,1.18,3,97
8,29,13,36,18,30,13,0.395,2.95,0.985,13.98,1.965,2.755,0.985,3,98
4,27,28,35,44,28,23,0.195,2.955,3.15,10.83,4.92,2.56,2.36,3,99
5,31,25,38,37,23,16,0.195,3.54,2.56,12.795,6.69,1.97,1.375,3,100
5,44,21,40,36,35,18,0.395,4.725,2.36,13.19,7.675,3.545,1.57,3,101
11,40,27,53,41,27,20,1.18,4.925,2.755,22.05,5.71,2.555,2.755,3,102
3,37,31,46,37,39,23,0.195,3.345,3.545,12.995,5.315,5.12,2.36,3,103
9,42,25,48,43,29,13,0.39,5.12,2.365,18.505,4.33,2.365,1.375,3,104
5,35,19,41,32,33,19,0.195,4.525,2.165,16.735,3.15,3.935,1.77,3,105
3,36,38,38,49,23,36,0.195,4.335,3.94,15.55,6.5,4.725,5.315,3,106
7,39,40,52,66,32,28,0.395,5.71,5.115,20.275,10.235,4.53,3.74,3,107
10,45,41,61,59,45,35,2.755,5.705,4.53,27.76,10.63,5.51,4.925,3,108
8,49,40,42,70,28,35,0.59,7.28,5.51,22.64,10.04,3.15,4.72,3,109
9,65,49,73,72,52,34,1.375,7.285,6.89,34.65,12.205,6.495,3.74,3,110
13,48,44,67,57,50,32,1.575,6.3,4.725,23.23,7.675,6.1,3.545,3,111
18,41,45,47,68,22,41,2.165,5.315,4.92,24.805,9.055,2.56,10.825,3,112
17,62,55,69,76,50,38,1.575,8.66,7.285,29.73,19.29,6.69,4.92,3,113
14,58,56,71,78,52,44,1.38,7.285,6.69,35.04,12.205,6.495,8.265,3,114
12,61,55,53,72,43,42,1.18,6.69,6.89,20.87,12.6,5.515,4.525,3,115
44,72,53,78,91,46,52,5.12,11.42,5.515,37.405,16.735,12.995,9.255,3,116
55,49,67,56,92,62,47,5.115,5.515,8.855,21.065,17.125,8.465,7.675,3,117
58,61,58,63,81,38,52,7.285,9.645,9.055,28.74,14.96,5.315,12.005,3,118
78,68,57,69,89,58,53,9.645,10.235,8.075,45.87,15.16,6.89,7.68,3,119
58,82,97,85,107,69,68,6.695,8.075,13.585,33.86,18.31,10.83,8.465,3,120
76,78,121,80,95,54,66,13.385,12.795,17.915,39.175,16.93,5.905,14.57,3,121
61,63,98,73,92,58,56,12.995,10.825,33.465,39.18,32.285,7.48,6.89,3,122
80,82,120,82,92,79,56,10.435,15.355,17.915,58.27,18.9,9.84,11.615,3,123
79,65,120,52,127,72,61,8.27,8.855,18.9,48.43,35.24,10.435,9.055,3,124
81,69,110,87,109,62,53,12.4,9.45,19.29,67.525,22.25,9.84,7.87,3,125
70,92,80,93,80,85,56,10.04,24.015,11.42,37.795,14.375,10.435,10.83,3,126
55,78,125,80,108,66,55,7.875,13.19,21.855,75.795,19.095,8.07,12.405,3,127
72,83,93,70,105,70,72,9.845,19.685,23.035,74.415,18.9,10.83,11.81,3,128
75,71,69,67,97,87,56,9.055,13.385,14.37,79.14,23.23,11.615,7.68,3,129
71,91,67,73,96,80,70,11.615,21.065,12.405,88.19,23.43,12.995,11.22,3,130
86,101,78,82,116,60,78,10.83,29.925,27.365,73.04,26.575,7.09,14.37,3,131
70,70,83,55,110,75,70,9.645,23.425,26.97,100,26.575,10.83,20.475,3,132
89,79,84,46,105,72,78,12.01,67.13,36.42,100,27.955,20.675,21.46,3,133
108,61,120,52,120,81,89,24.805,90.16,31.5,100,31.105,13.19,16.34,3,134
98,62,137,47,118,79,86,17.525,100,58.08,100,48.425,11.025,19.095,3,135
85,71,107,45,126,77,86,14.175,96.855,81.7,100,42.92,8.86,17.52,3,136
109,75,96,51,89,63,75,21.26,100,58.665,100,40.555,6.1,16.93,3,137
111,64,83,59,108,72,83,20.08,100,37.205,100,33.27,10.235,14.965,3,138
102,66,94,66,115,76,67,21.46,100,33.86,100,44.885,13.585,10.63,3,139
106,82,86,51,120,74,82,26.97,88.98,36.615,100,27.76,10.435,17.325,3,140
102,67,89,38,130,82,92,29.925,82.285,33.27,100,40.555,11.22,22.045,3,141
92,64,109,36,140,63,83,15.355,100,47.445,100,39.37,6.89,20.475,3,142
95,65,145,53,115,70,76,32.09,100,39.57,100,45.675,10.63,13.385,3,143
103,62,118,48,128,84,91,54.925,100,64.77,100,53.15,11.42,41.145,3,144
95,67,129,54,120,73,97,70.475,100,34.055,100,39.175,10.63,40.55,3,145
108,81,138,38,122,74,66,58.86,100,41.735,100,42.72,8.66,14.765,3,146
93,67,116,67,106,63,101,33.075,100,28.94,100,54.335,8.465,30.515,3,147
100,73,142,50,113,98,56,36.615,100,65.36,100,80.515,32.09,9.645,3,148
111,50,98,53,126,58,82,26.185,100,46.46,100,58.47,8.465,20.08,3,149
95,69,98,64,134,91,73,47.25,100,44.885,100,50.79,14.565,9.845,3,150
98,85,103,57,137,87,97,46.265,87.405,48.43,100,34.65,20.475,20.085,3,151
76,74,95,64,118,82,57,89.77,100,52.365,100,24.61,21.26,10.04,3,152
59,85,85,62,129,90,100,94.49,100,22.25,100,22.84,15.75,26.38,3,153
108,73,81,47,120,106,71,73.035,100,18.51,100,25.59,24.805,13.39,3,154
116,82,86,87,125,64,91,56.11,100,12.795,97.25,27.365,10.04,15.945,3,155
75,91,75,78,121,92,91,85.83,97.64,25.785,89.175,30.12,16.735,29.335,3,156
83,98,137,67,132,81,81,78.155,98.825,34.65,100,34.45,19.095,14.565,3,157
58,80,141,68,120,70,89,88.395,100,20.67,100,28.745,12.6,21.46,3,158
65,102,129,82,98,46,83,91.34,90.75,66.735,100,57.09,6.105,22.445,3,159
98,80,119,48,119,87,91,87.605,100,47.445,100,51.975,12.205,24.41,3,160
103,86,97,46,140,73,96,68.705,76.58,21.46,100,35.63,10.435,27.365,3,161
84,90,92,52,131,88,68,79.535,78.945,24.605,100,27.165,16.34,20.67,3,162
45,85,93,56,129,68,73,100,93.705,16.14,100,37.405,12.21,16.93,3,163
66,88,89,60,141,75,77,93.705,80.715,21.46,100,39.375,11.22,19.885,3,164
72,75,101,66,123,82,66,90.955,52.365,23.03,100,23.825,12.01,9.65,3,165
75,99,83,63,138,79,65,78.155,67.33,21.065,100,25.79,10.435,13.98,3,166
64,79,81,57,87,67,66,87.605,42.92,13.385,100,14.375,9.845,20.275,3,167
104,93,73,57,138,71,93,59.45,56.105,12.405,100,50.99,15.55,23.23,3,168
69,75,88,55,123,72,100,93.31,64.18,43.705,100,74.81,9.645,26.38,3,169
98,84,92,54,111,65,63,50.005,72.25,45.87,100,69.495,12.01,11.025,3,170
76,72,115,51,117,73,83,44.49,69.69,60.835,100,35.83,30.71,31.895,3,171
84,82,62,56,120,35,99,31.895,73.235,51.385,100,25.395,93.705,25.2,3,172
68,97,52,54,118,82,70,88.785,87.215,51.97,100,30.32,92.725,10.235,3,173
73,67,43,66,129,62,83,96.265,99.215,62.405,91.34,27.565,70.675,12.205,3,174
83,73,49,85,134,60,97,88.195,100,55.71,64.575,27.56,34.65,40.555,3,175
76,77,58,91,122,56,103,85.64,100,56.89,62.605,24.61,8.27,39.175,3,176
62,87,99,98,134,71,62,98.435,97.445,33.665,98.43,37.995,9.055,21.065,3,177
50,104,96,71,111,64,94,95.87,98.625,22.245,100,50.005,8.07,33.665,3,178
79,95,105,66,147,76,90,96.66,100,17.13,100,31.1,12.01,16.145,3,179
86,82,89,44,133,67,61,93.51,89.77,32.875,100,26.18,8.665,34.255,3,180
97,82,82,55,134,60,81,69.1,96.065,14.175,100,26.185,7.48,63.59,3,181
110,81,96,53,148,61,85,75.6,95.68,32.875,100,25.595,8.855,62.21,3,182
70,79,89,62,148,63,71,76.58,81.505,52.37,100,31.89,8.075,67.92,3,183
87,95,103,44,147,85,64,87.21,51.97,65.555,100,24.61,15.16,56.895,3,184
61,84,93,53,151,54,89,98.825,88.785,58.47,100,51.38,37.995,43.9,3,185
85,83,97,63,125,57,112,97.84,92.33,74.415,100,37.015,52.365,30.12,3,186
111,84,90,59,126,76,126,75.205,85.835,61.025,100,28.94,42.52,49.805,3,187
100,80,84,57,124,70,62,65.755,97.64,69.69,100,31.305,9.65,9.65,3,188
98,80,145,58,132,74,74,66.345,100,33.665,100,35.435,10.43,16.14,3,189
80,82,128,47,144,80,74,78.35,100,21.26,100,32.09,13.975,30.51,3,190
90,79,118,44,127,92,82,93.115,100,26.38,100,46.855,24.015,26.185,3,191
84,76,132,67,136,83,81,83.67,100,27.17,100,39.375,14.765,15.745,3,192
67,79,111,65,137,76,65,99.415,100,25.985,100,30.71,17.325,10.24,3,193
78,81,95,41,126,60,75,56.5,99.215,19.095,100,25.395,52.365,24.215,3,194
77,81,89,85.11,117,73,65,59.845,100,16.145,100,50.2,58.275,36.225,3,195
69,70,92,45,118,63,72,72.45,100,25,100,64.375,56.105,59.65,3,196
88,75,102,47,134,68,61,80.12,100,33.86,100,36.815,49.61,56.5,3,197
85,80,104,77,98,75,71,86.23,100,34.45,96.655,49.61,12.205,15.555,3,198
89,74,89,49,123,59,74,79.925,100,38.98,100,31.105,45.085,22.445,3,199
34,38,38,20,67,31,35,43.9,41.145,18.9,50.395,16.735,25.985,13.19,3,200
88,85,88,48,126,66,86,84.85,100,31.695,100,26.575,53.745,36.81,3,201
66,92,94,49,74,69,76,95.28,45.28,15.55,100,49.02,57.88,29.53,3,202
79,70,74,42,125,36,69,86.425,100,49.81,100,29.53,100,35.045,3,203
83,79,101,40,108,72,72,60.44,94.495,38.78,100,49.61,78.15,49.61,3,204
77,82,107,45,147,77,76,80.715,99.61,36.42,100,33.47,31.305,38.98,3,205
86,80,96,46,139,84,73,67.33,99.805,35.435,100,27.76,18.31,24.61,3,206
76,66,82,54,131,74,73,89.575,100,38.785,100,40.355,30.51,12.01,3,207
78,86,112,33,116,65,70,88.785,99.805,32.09,100,56.5,19.29,46.66,3,208
91,92,94,45,100,82,68,82.29,84.65,19.69,100,63.98,26.38,15.155,3,209
91,85,98,54,138,64,60,78.945,100,26.97,100,37.995,28.74,23.425,3,210
93,92,88,39,104,65,65,62.6,99.215,20.865,100,55.32,63.785,19.095,3,211
100,75,89,45,105,81,67,58.67,100,17.325,100,40.945,62.995,36.225,3,212
85,68,97,42,97,81,59,59.455,100,15.75,100,43.705,48.625,11.615,3,213
87,94,83,58,108,34,64,70.87,97.45,16.535,100,30.515,99.215,56.105,3,214
92,100,82,55,110,38,64,60.045,77.175,28.545,100,61.025,93.115,68.705,3,215
93,89,92,62,127,54,91,74.615,73.43,57.285,100,47.64,100,64.765,3,216
89,89,82,65,91,28,79,73.04,43.705,70.675,100,54.925,100,74.215,3,217
73,108,64,60,107,58,56,48.43,16.14,78.155,99.61,38.585,100,67.33,3,218
66,99,46,65,110,60,88,31.105,31.495,93.115,99.02,45.475,90.165,74.215,3,219
82,90,69,40,105,44,80,60.435,19.095,92.13,100,41.535,100,64.77,3,220
81,99,37,40,123,72,67,33.27,17.13,100,100,53.35,75.4,93.31,3,221
77,107,43,62,101,60,55,13.58,20.675,90.555,100,58.075,85.245,100,3,222
83,98,69,60,60,58,65,27.17,21.265,61.62,94.69,81.9,99.02,100,3,223
93,106,61,68,65,37,74,13.78,29.92,69.89,100,86.62,100,97.64,3,224
85,110,63,60,58,51,72,14.175,20.08,87.21,99.805,93.51,91.54,99.215,3,225
77,104,41,50,57,48,60,15.16,34.25,96.07,100,100,99.215,100,3,226
75,91,55,53,65,24,93,22.64,69.69,100,100,85.05,97.84,46.07,3,227
87,98,47,56,69,37,91,18.11,64.965,88.395,100,82.88,96.655,50.395,3,228
92,94,70,59,53,57,62,22.245,18.705,93.115,100,83.865,65.95,29.73,3,229
101,83,42,42,41,28,104,18.31,27.755,80.715,100,90.95,100,30.12,3,230
85,83,85,58,64,36,83,31.695,86.03,61.62,100,95.48,70.67,25.985,3,231
101,70,72,24,73,56,78,55.32,100,99.61,100,76.975,97.84,13.585,3,232
95,43,84,30,84,27,74,65.36,100,95.085,100,89.97,100,32.09,3,233
93,60,80,43,105,46,79,59.85,100,83.275,100,60.24,100,25.195,3,234
79,80,93,34,123,66,58,80.715,98.43,55.715,100,28.94,76.78,16.14,3,235
74,62,91,44,113,62,56,92.725,100,91.35,100,36.615,95.09,9.645,3,236
94,71,63,53,120,68,56,67.325,100,71.065,100,28.545,80.52,9.845,3,237
79,77,86,57,143,85,65,73.035,100,71.265,100,45.28,77.17,18.31,3,238
70,76,82,58,136,79,59,80.715,92.72,74.025,100,30.12,60.835,19.885,3,239
90,93,78,67,120,46,45,60.045,100,78.35,100,45.675,86.425,6.695,3,240
94,79,68,65,114,36,87,68.905,97.25,82.88,100,44.69,99.61,23.23,3,241
90,103,93,43,117,66,76,69.3,100,79.535,100,35.24,86.82,31.5,3,242
105,76,81,59,137,78,85,50.005,100,80.125,100,32.09,81.7,14.565,3,243
73,70,84,59,129,24,117,79.535,100,64.575,100,24.015,100,42.13,3,244
78,86,78,65,123,47,78,76.775,99.61,59.06,100,33.07,100,25.005,3,245
84,91,86,61,141,57,107,59.06,100,69.495,100,22.05,92.525,35.44,3,246
86,85,68,53,149,23,97,62.01,98.625,66.145,100,27.165,100,32.48,3,247
93,95,96,62,146,39,88,81.5,48.825,49.02,100,31.695,100,47.645,3,248
84,80,84,35,125,27,97,84.65,19.885,65.36,100,29.14,100,86.03,3,249
87,74,90,39,135,40,104,65.755,86.815,46.265,100,25.395,97.64,92.525,3,250
92,61,71,30,128,82,73,57.875,98.625,55.515,100,40.755,91.54,62.21,3,251
96,80,88,49,134,69,84,54.53,100,56.7,100,32.09,77.37,67.13,3,252
75,90,81,54,146,70,70,78.16,83.08,65.36,100,25.79,60.045,49.81,3,253
88,67,98,36,137,76,72,68.115,100,46.855,100,25.59,68.31,64.375,3,254
85,77,99,44,147,58,67,76.385,100,56.11,100,30.315,87.605,64.375,3,255
89,82,104,55,141,48,81,60.435,53.745,22.835,100,29.33,78.75,49.805,3,256
73,98,103,58,143,49,54,90.555,15.16,27.56,100,30.91,88.985,41.735,3,257
69,102,92,57,116,45,55,87.8,15.55,32.285,100,23.23,98.625,26.97,3,258
74,124,102,66,133,41,60,95.875,20.87,23.035,100,26.97,100,8.665,3,259
82,99,92,55,136,47,71,89.57,16.145,40.95,100,26.775,100,14.17,3,260
75,92,96,52,120,63,60,96.855,13.19,56.11,100,28.94,95.875,10.43,3,261
58,100,82,63,110,49,66,97.445,18.305,15.945,100,23.03,100,17.325,3,262
75,85,79,83,124,64,61,90.75,12.205,13.585,78.35,20.87,100,35.24,3,263
99,101,90,95,127,78,83,60.24,18.505,37.795,60.24,23.625,96.465,46.265,3,264
96,107,82,86,137,103,76,70.085,19.49,39.77,56.7,25.79,80.715,34.845,3,265
67,108,85,72,147,82,81,95.675,27.365,68.9,78.945,35.83,89.375,27.955,3,266
47,60,49,27,68,49,43,38.78,10.04,32.68,50.59,11.415,50.395,14.175,3,267
87,98,87,68,144,55,78,80.325,24.805,57.88,100,32.09,95.87,50.795,3,268
94,98,106,58,141,66,63,63.98,18.31,39.765,100,27.955,96.86,26.185,3,269
79,106,98,61,125,71,82,82.29,21.655,30.12,99.61,26.575,97.645,28.55,3,270
88,101,92,75,138,60,76,87.015,21.065,26.38,100,27.17,99.415,23.625,3,271
103,95,89,51,122,68,62,65.95,26.775,32.485,100,19.885,94.1,45.87,3,272
87,83,96,64,132,94,62,74.215,20.67,32.48,100,31.89,41.93,27.165,3,273
91,107,97,52,143,59,67,74.615,19.685,44.295,100,27.365,24.015,19.295,3,274
94,104,88,49,121,85,70,69.3,23.23,36.42,100,22.64,17.525,27.955,3,275
92,101,91,50,136,90,74,68.315,21.265,34.455,100,38.195,21.655,51.775,3,276
111,95,95,50,120,79,58,67.525,16.34,49.61,100,28.545,19.69,27.565,3,277
93,76,90,53,114,79,54,70.48,12.005,56.7,100,37.6,33.075,7.875,3,278
95,96,87,57,121,68,82,69.69,18.9,39.37,100,22.245,11.025,24.015,3,279
90,100,93,62,134,73,73,72.845,23.625,19.685,100,27.76,11.025,23.62,3,280
85,93,84,40,103,73,80,68.31,23.82,26.38,100,21.065,45.475,40.95,3,281
85,100,86,69,115,63,77,82.49,25.595,16.535,100,40.355,56.895,49.61,3,282
90,90,116,64,139,63,73,75.005,23.82,34.645,100,36.03,85.045,30.32,3,283
82,104,92,71,110,50,60,81.7,26.97,36.225,83.665,22.445,100,44.095,3,284
97,119,71,51,102,57,82,63.98,26.38,11.815,96.655,20.08,90.755,47.445,3,285
76,99,93,50,130,51,73,84.455,43.115,24.215,100,39.375,92.13,51.775,3,286
110,76,116,72,111,32,62,59.845,35.83,33.27,100,34.255,99.215,59.655,3,287
100,106,82,84,109,66,58,64.97,24.805,36.615,98.625,19.1,89.575,16.93,3,288
97,111,81,42,120,68,81,77.96,29.53,13.19,100,36.42,89.575,35.24,3,289
99,102,91,56,104,82,74,69.1,38.585,23.23,100,50.595,85.045,21.06,3,290
103,106,108,60,125,80,60,68.705,63.59,42.13,100,49.215,76.385,15.55,3,291
89,82,111,55,129,61,76,59.65,86.815,66.54,100,35.435,87.21,33.665,3,292
69,101,90,65,109,57,74,84.255,75.4,26.97,100,40.355,93.51,27.365,3,293
122,86,104,52,122,54,71,63.985,67.72,34.65,100,37.405,97.64,55.715,3,294
90,94,100,47,120,79,86,73.825,78.355,45.87,100,31.105,83.865,31.5,3,295
110,74,100,52,117,49,64,69.1,91.345,42.13,100,37.21,90.95,27.76,3,296
104,86,111,66,108,83,72,62.8,95.09,26.77,100,46.065,84.06,37.205,3,297
104,96,106,41,127,84,76,64.57,100,25.79,100,30.515,75.79,25.985,3,298
94,89,95,50,129,77,75,78.745,99.22,49.61,100,24.61,68.705,20.08,3,299
100,83,95,48,139,90,69,75.99,100,54.335,100,28.15,56.7,21.46,3,300
107,81,94,55,141,69,70,49.81,98.43,49.61,100,30.125,76.975,38.585,3,301
100,102,94,77,123,67,72,69.295,95.085,25,100,33.465,74.22,57.875,3,302
113,80,86,44,115,88,101,63.98,90.36,20.865,100,44.1,56.11,61.62,3,303
114,66,89,26,82,77,91,63.785,100,34.845,100,62.21,35.435,36.815,3,304
91,62,83,48,85,65,88,64.18,100,23.03,100,81.11,16.145,30.315,3,305
99,81,113,54,101,60,77,63.785,100,46.465,100,79.34,61.615,31.895,3,306
96,78,99,50,100,62,79,68.705,99.02,72.84,100,57.09,94.1,47.445,3,307
100,88,97,57,113,79,78,68.705,100,59.06,100,46.66,55.715,25.985,3,308
110,88,96,37,104,73,74,71.265,98.43,52.565,100,60.24,74.02,39.57,3,309
86,91,94,54,113,76,76,59.455,94.885,55.91,100,58.27,61.42,29.925,3,310
102,96,75,48,124,79,77,78.355,86.42,61.225,100,42.325,58.86,39.77,3,311
110,89,96,59,122,80,84,67.525,100,63.195,100,46.855,56.11,46.46,3,312
